sample	locus	read_count	molecule_count
11R_S6_R1_001	IL15	62	62
11R_S6_R1_001	LAMB3	27	27
11R_S6_R1_001	MAOA	96	96
11R_S6_R1_001	MAP3K5	43	43
11R_S6_R1_001	MMP7	16	16
11R_S6_R1_001	MT1G	2828	2754
11R_S6_R1_001	MT1H	227	227
11R_S6_R1_001	NDRG1	32	32
11R_S6_R1_001	NNMT	32	32
11R_S6_R1_001	OLFM1	21	21
11R_S6_R1_001	PAEP	34	34
11R_S6_R1_001	PRUNE2	27	27
11R_S6_R1_001	S100P	11	11
11R_S6_R1_001	SDHA	279	278
11R_S6_R1_001	SERPING1	151	151
11R_S6_R1_001	SFRP4	193	192
11R_S6_R1_001	SLC1A1	2	2
11R_S6_R1_001	SPP1	580	576
11R_S6_R1_001	TBP	80	80
11R_S6_R1_001	TCN1	20	20
11R_S6_R1_001	TSPAN8	7	7
11R_S6_R1_001	unmatched	1054	544
12R_S7_R1_001	ABCC3	1	1
12R_S7_R1_001	ACADSB	16	16
12R_S7_R1_001	ANXA2	3442	3298
12R_S7_R1_001	ANXA4	831	818
12R_S7_R1_001	AOX1	4	4
12R_S7_R1_001	APOD	18	18
12R_S7_R1_001	AQP3	201	201
12R_S7_R1_001	ARG2	3	3
12R_S7_R1_001	ARID5B	11	11
12R_S7_R1_001	BCL6	13	13
12R_S7_R1_001	C10orf10	34	33
12R_S7_R1_001	C1R	545	535
12R_S7_R1_001	C4BPA	6	6
12R_S7_R1_001	CD55	62	62
12R_S7_R1_001	CEBPD	291	288
12R_S7_R1_001	CFD	83	83
12R_S7_R1_001	CLDN4	140	140
12R_S7_R1_001	COMP	0	0
12R_S7_R1_001	CP	158	158
12R_S7_R1_001	CRABP2	315	313
12R_S7_R1_001	CYC1	176	176
12R_S7_R1_001	DDX52	28	28
12R_S7_R1_001	DEFB1	68	68
12R_S7_R1_001	DKK1	20	20
12R_S7_R1_001	DPP4	5	5
12R_S7_R1_001	DYNLT3	217	214
12R_S7_R1_001	EDN3	58	57
12R_S7_R1_001	EDNRB	25	25
12R_S7_R1_001	EFNA1	92	92
12R_S7_R1_001	ENPEP	3	3
12R_S7_R1_001	ERCC_00004	2150	2083
12R_S7_R1_001	ERCC_00108	226	224
12R_S7_R1_001	ERCC_00116	46	46
12R_S7_R1_001	ERCC_00136	402	397
12R_S7_R1_001	G0S2	70	67
12R_S7_R1_001	GADD45A	98	97
12R_S7_R1_001	GBP2	319	317
12R_S7_R1_001	GNLY	738	733
12R_S7_R1_001	GPX3	23	23
12R_S7_R1_001	HABP2	2	2
12R_S7_R1_001	HMBS	47	46
12R_S7_R1_001	ID4	317	317
12R_S7_R1_001	IDO1	287	284
12R_S7_R1_001	IGFBP1	4	4
12R_S7_R1_001	IL15	59	59
12R_S7_R1_001	LAMB3	22	22
12R_S7_R1_001	MAOA	103	103
12R_S7_R1_001	MAP3K5	66	66
12R_S7_R1_001	MMP7	17	17
12R_S7_R1_001	MT1G	2338	2297
12R_S7_R1_001	MT1H	327	326
12R_S7_R1_001	NDRG1	72	72
12R_S7_R1_001	NNMT	43	43
12R_S7_R1_001	OLFM1	55	54
12R_S7_R1_001	PAEP	11	11
12R_S7_R1_001	PRUNE2	39	39
12R_S7_R1_001	S100P	2	2
12R_S7_R1_001	SDHA	227	226
12R_S7_R1_001	SERPING1	391	390
12R_S7_R1_001	SFRP4	338	336
12R_S7_R1_001	SLC1A1	4	4
12R_S7_R1_001	SPP1	218	217
